sampleNumber	sampleName	treatment	time	antibody	readout	cv	quality	normReadout
16	A2058	991	15min	MET-pY1234/5	1.29473517543809	0.0908389820831502	Good	2.62395570719918
17	A2058	901	30min	MET-pY1234/5	1.59600101725619	0.0313552320420427	Good	2.79026797610696
18	A2058	AK	30min	MET-pY1234/5	0.66166141813715	0.0803583095135633	Poor	1.20218817514108
19	A2058	Nt	30min	MET-pY1234/5	1.69522480753005	0.104216719097101	Poor	2.74546406031456
20	A2058	PLX	30min	MET-pY1234/5	1.54178508667289	0.101741735678636	Good	2.83374564809358
21	A2058	SR	30min	MET-pY1234/5	1.11637119658369	0.0657979881103395	Good	1.90288648329668
22	A2058	St	30min	MET-pY1234/5	1.52993719600868	0.0411497927041159	Good	2.92220008901823
23	A2058	Tm 	30min	MET-pY1234/5	2.06285494157455	0.0561932754110967	Good	3.63022481376563
24	A2058	991	30min	MET-pY1234/5	1.22029051205066	0.0983325858311802	Undet.	2.1514994669038
25	A2058	901	1hr	MET-pY1234/5	1.59675988627853	0.0989756737283821	Good	2.87845668828128
26	A2058	AK	1hr	MET-pY1234/5	1.99655793166988	0.0635910450969068	Good	3.49719768565904
27	A2058	Nt	1hr	MET-pY1234/5	1.2178527576467	0.12937801825333	Good	2.33334106915904
28	A2058	PLX	1hr	MET-pY1234/5	1.35953669285124	0.0302620140213001	Good	2.29789433790858
29	A2058	SR	1hr	MET-pY1234/5	1.74995982859173	0.0355937059962905	Good	3.02348482728285
30	A2058	St	1hr	MET-pY1234/5	1.28996955192896	0.118049860943108	Undet.	2.27766317453513
31	A2058	Tm 	1hr	MET-pY1234/5	1.24420535270024	0.0272002975883316	Good	2.31584563778836
32	A2058	991	1hr	MET-pY1234/5	1.32790761448764	0.0299240062075225	Good	2.33509803697647
33	A2058	901	12hr	MET-pY1234/5	1.07163170321474	0.0686683633484126	Good	1.6875066026283
34	A2058	AK	12hr	MET-pY1234/5	0.991342269541078	0.103363282122897	Good	1.38851164383849
35	A2058	Nt	12hr	MET-pY1234/5	1.07372636477687	0.0276465207662714	Undet.	1.7607726688562
